Name,Faction,Type,Cost,CastChance,Heal,Damgage,Resist,Boost,TargetFactions,Level req
Cult_Ambushers,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,57
Cult_Assassin,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,21
Cult_Avatar,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,126
Cult_Avatar_Of_Minds,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,120
Cult_BeastMaster,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,90
Cult_Blasters,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,33
Cult_BloodMaidens,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,87
Cult_Cleric,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,99
Cult_CloudMaster,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,102
Cult_Creator,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,114
Cult_Daemon,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,117
Cult_DeadEye,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,45
Cult_Eclipse,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,129
Cult_Elemental,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,72
Cult_End_Times,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,60
Cult_Farseer,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,69
Cult_GrandMaster,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,66
Cult_Guide,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,48
Cult_Healing,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,54
Cult_Hero,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,15
Cult_Hive_Queen,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,42
Cult_Hunter,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,63
Cult_Initiate,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,1
Cult_LoreMaster,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,75
Cult_Master_Of_The_Hunt,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,78
Cult_NightSlayer,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,81
Cult_Prismatic,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,81
Cult_Sage,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,12
Cult_Schemer,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,3
Cult_Scout,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,6
Cult_Scout_Master,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,9
Cult_Shamen,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,123
Cult_SkullCracker,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,30
Cult_SkySiren,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,108
Cult_SkyTitan,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,111
Cult_SkyWatcher,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,96
Cult_Slayer,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,84
Cult_Supreme,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,105
Cult_SwornSword,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,36
Cult_Visionary,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,24
Cult_VisionGuide,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,39
Cult_Warrior,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,27
Cult_Weapons_Master,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,18
Cult_WindMaster,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,93
Cult_WorldWaker,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,132
Friendly_Fire,The_Cult_Of_The_Stars,,,,,,,,The_Cult_Of_The_Stars,51
