Name,Faction,Type,Cost,CastChance,Heal,Damgage,Resist,Boost,TargetFactions,Level req
Curse_Of_The_Haunted,The_Ennead,,,,,,,,The_Ennead,27
Haunted_ArmorMaster,The_Ennead,,,,,,,,The_Ennead,57
Haunted_Avatar,The_Ennead,,,,,,,,The_Ennead,126
Haunted_Creator,The_Ennead,,,,,,,,The_Ennead,132
Haunted_Diviner,The_Ennead,,,,,,,,The_Ennead,30
Haunted_Enchantress,The_Ennead,,,,,,,,The_Ennead,33
Haunted_God,The_Ennead,,,,,,,,The_Ennead,54
Haunted_Graveborn,The_Ennead,,,,,,,,The_Ennead,3
Haunted_Initiate,The_Ennead,,,,,,,,The_Ennead,1
Haunted_King,The_Ennead,,,,,,,,The_Ennead,6
Haunted_Master,The_Ennead,,,,,,,,The_Ennead,21
Haunted_Mystic,The_Ennead,,,,,,,,The_Ennead,24
Haunted_Queen,The_Ennead,,,,,,,,The_Ennead,51
Haunted_Recognition,The_Ennead,,,,,,,,The_Ennead,48
Haunted_Rogue,The_Ennead,,,,,,,,The_Ennead,9
Haunted_Schemer,The_Ennead,,,,,,,,The_Ennead,42
Haunted_Siren,The_Ennead,,,,,,,,The_Ennead,45
Haunted_Summoner,The_Ennead,,,,,,,,The_Ennead,36
Haunted_Visionary,The_Ennead,,,,,,,,The_Ennead,12
Haunted_WarMaster,The_Ennead,,,,,,,,The_Ennead,39
Haunted_Warrior,The_Ennead,,,,,,,,The_Ennead,18
Haunted_Wayfarer,The_Ennead,,,,,,,,The_Ennead,15
Haunted_WorldFlayer,The_Ennead,,,,,,,,The_Ennead,129
